ID,English,German,Type,Solution
1,10446,8709,A-D,C
2,7346,4669,A-E,E
3,10902,8718,A-D,B
4,10695,8714,A-D,C
5,7584,7740,A-C,B
6,10444,8708,A-C,B
7,8125,8691,A-D,C
8,6217,8209,A-E,E
9,10488,8726,A-D,B
10,12291,15362,A-F,E
11,12238,15794,A-D,D
12,12008,15132,A-D,D
13,17565,16932,A-C,A
14,16563,16968,A-E,B
15,11787,9509,A-C,A
16,11832,9737,A-B,A
17,11782,8023,A-D,B
18,12324,15936,A-C,C
19,12293,15360,A-C,C
20,11783,8903,A-B,A
21,12300,15429,A-E,B
22,12348,15295,A-D,A
23,11882,14017,A-D,A
24,12356,15255,A-D,D
25,12231,15787,A-C,A
26,12040,17327,A-C,C
27,12297,16195,A-C,C
28,11622,7856,A-D,B
29,12360,16003,A-E,E
30,12321,16075,A-D,C
31,12388,18045,A-C,B
32,12304,15920,A-C,C
33,12209,15183,A-D,C
34,12358,15993,A-D,D
35,12220,15395,A-D,C
36,12239,15793,A-E,D
37,12281,16127,A-C,B
38,11833,11645,A-C,C
39,10907,8723,A-C,A
40,10814,14217,A-D,C
41,7464,17108,A-D,C
42,8335,14735,A-C,B
43,10900,8716,A-D,C
44,7435,17085,A-C,B
45,10964,13945,A-C,A
46,10338,10416,A-C,A
47,10940,12439,A-E,D
48,6954,5114,A-C,B
49,5580,1981,A-D,D
50,10711,14052,A-D,A
51,9007,14812,A-D,D
52,6019,3230,A-D,B
53,11000,13968,A-D,D
54,5565,2081,A-D,B
55,5590,2706,A-D,D
56,7550,17182,A-C,B
57,10836,14234,A-E,E
58,10818,14213,A-C,C
59,8400,14911,A-B,A
60,5233,2402,A-D,C
61,7467,17137,A-C,C
62,10131,8729,A-C,B
63,10796,13566,A-D,C
64,11024,14019,A-D,A
65,10830,13622,A-C,A
66,6654,5198,A-C,B
67,7445,17101,A-C,B
68,5309,1927,A-C,C
69,7465,17107,A-D,B
70,10380,11546,A-B,B
71,7073,5108,A-C,B
72,6330,5189,A-C,B
73,7450,17104,A-F,A
74,5976,3145,A-F,D
75,6335,5196,A-F,A
76,5577,1974,A-C,B
77,10693,8712,A-C,C
78,6279,5237,A-C,C
79,10943,13937,A-C,A
80,6828,5184,A-D,C
81,10381,11544,A-E,C
82,10742,14169,A-D,C
83,10271,6825,A-D,C
